No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,No. overall [n 1],Title [n 8],Original release date [n 3],Unnamed: 6,No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Episodes', 'Episodes')","('Release date', 'USA')","('Release date', 'UK')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2,0,1
406,25,"""Feudal Era Side Story – Boss Luffy Appears Again"" Transliteration: ""Jidaigeki Tokubetsu Hen – Rufi-Oyabun Futatabi Kenzan"" (Japanese: 時代劇特別編 ルフィ親分再び見参)",Tetsuya Endō,Hitoshi Tanaka,"June 21, 2009[155]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,26,"""Feudal Era Side Story – Defeat Thriller Company's Trap"" Transliteration: ""Jidaigeki Tokubetsu Hen – Yabure! Surirā Shōkai no Wana"" (Japanese: 時代劇特別編 破れ! スリラー商会の罠)",Naoyuki Itō,Hitoshi Tanaka,"June 28, 2009[156]",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,Yoshihiro Ueda,Hirohiko Kamisaka,,,,,,,,,408.0,"""Landing! The All-Female Island, Amazon Lily"" Transliteration: ""Jōriku! Danshi Kinsei no Shima Amazon Rirī"" (Japanese: 上陸! 男子禁制の島アマゾン·リリー)","July 5, 2009[157]",,,,,,,,,,,,,,,,,,,,,,,
,2,,Katsumi Tokoro,Hitoshi Tanaka,,,,,,,,,409.0,"""Hurry Back to Your Friends! The Maiden Island Adventure"" Transliteration: ""Isoge! Nakama no Moto e – Nyōgashima no Bōken"" (Japanese: 急げ! 仲間のもとへ 女ヶ島の冒険)","July 12, 2009[158]",,,,,,,,,,,,,,,,,,,,,,,
,3,,Yutaka Nakashima,Yoshiyuki Suga,,,,,,,,,410.0,"""Everyone Falls in Love! Pirate Empress Hancock"" Transliteration: ""Minna Meromero! Kaizoku Jotei Hankokku"" (Japanese: みんなメロメロ! 海賊女帝ハンコック)","July 19, 2009[159]",,,,,,,,,,,,,,,,,,,,,,,
,4,,Yukihiko Nakao,Hitoshi Tanaka,,,,,,,,,411.0,"""The Secret Hidden on the Backs – Luffy and the Snake Princess Meet"" Transliteration: ""Senaka ni Kakusareta Himitsu – Sōgū Rufi to Hebihime"" (Japanese: 背中に隠された秘密 遭遇ルフィと蛇姫)","August 2, 2009[160]",,,,,,,,,,,,,,,,,,,,,,,
,5,,Gō Koga,Yoshiyuki Suga,,,,,,,,,412.0,"""Heartless Judgment! Margaret is Turned to Stone!!"" Transliteration: ""Hijō no Sabaki! Ishi ni Sareta Māgaretto!!"" (Japanese: 非情の裁き! 石にされたマーガレット!!)","August 9, 2009[161]",,,,,,,,,,,,,,,,,,,,,,,
,6,,Sumio Watanabe,Hitoshi Tanaka,,,,,,,,,413.0,"""A Difficult Fight for Luffy! The Snake Sisters' Haki Power!!"" Transliteration: ""Rufi Daikusen! Hebi Shimai no Haki no Chikara!!"" (Japanese: ルフィ第苦戦! ヘビ姉妹の覇気の力!!)","August 16, 2009[162]",,,,,,,,,,,,,,,,,,,,,,,
,7,,Directed by : Yutaka Nakashima Storyboarded by : Makoto Sonoda,Yoshiyuki Suga,,,,,,,,,414.0,"""All-Out Special Power Battle!! Gum-Gum vs. Snake-Snake"" Transliteration: ""Nōryoku Zenkai Batoru!! Gomu Gomu vs. Hebi Hebi"" (Japanese: 能力全開バトル!! ゴムゴムVSヘビヘビ)","August 23, 2009[163]",,,,,,,,,,,,,,,,,,,,,,,
,8,,Yoshihiro Ueda,Hitoshi Tanaka,,,,,,,,,415.0,"""Hancock's Confession – The Sisters' Abhorrent Past"" Transliteration: ""Hankokku no Kokuhaku – Shimai no Imawashiki Kako"" (Japanese: ハンコックの告白 姉妹の忌まわしき過去)","August 30, 2009[164]",,,,,,,,,,,,,,,,,,,,,,,
,9,,Katsumi Tokoro,Yoshiyuki Suga,,,,,,,,,416.0,"""Saving Ace! The Next Stop: the Great Prison!"" Transliteration: ""Ēsu o Sukue! Arata na Mokutekichi wa Daikangoku"" (Japanese: エースを救え! 新たな目的地は大監獄)","September 6, 2009[165]",,,,,,,,,,,,,,,,,,,,,,,
,10,,Naoyuki Itō,Yoshiyuki Suga,,,,,,,,,417.0,"""Love is a Hurricane! Love-Love Hancock!"" Transliteration: ""Koi wa Harikēn! Meromero Hankokku"" (Japanese: 恋はハリケーン! メロメロハンコック)","September 13, 2009[166]",,,,,,,,,,,,,,,,,,,,,,,
,11,,Tetsuya Endō,Hitoshi Tanaka,,,,,,,,,418.0,"""The Friends' Whereabouts – The Science of Weather and the Mechanical Island"" Transliteration: ""Nakama-tachi no Yukue – Tenkō no Kagaku to Karakurishima"" (Japanese: 仲間達の行方 天候の科学とからくり島)","September 20, 2009[167]",,,,,,,,,,,,,,,,,,,,,,,
,12,,Yutaka Nakashima,Yoshiyuki Suga,,,,,,,,,419.0,"""The Friends' Whereabouts! An Island of Giant Birds and a Pink Paradise!"" Transliteration: ""Nakama-tachi no Yukue – Kyōdori no Shima to Momoiro no Rakuen!"" (Japanese: 仲間達の行方 巨鳥の島と桃色の楽園!)","September 27, 2009[168]",,,,,,,,,,,,,,,,,,,,,,,
,13,,Gō Koga,Hitoshi Tanaka,,,,,,,,,420.0,"""The Friends' Whereabouts – Bridging the Islands and Vicious Vegetations!"" Transliteration: ""Nakama-tachi no Yukue – Shima o Tsunagu Hashi to Shokujin Shokubutsu"" (Japanese: 仲間達の行方 島をつなぐ橋と食人植物)","October 4, 2009[169]",,,,,,,,,,,,,,,,,,,,,,,
,14,,Katsumi Tokoro,Yoshiyuki Suga,,,,,,,,,421.0,"""The Friends' Whereabouts! A Negative Princess and the King of Demons!"" Transliteration: ""Nakama-tachi no Yukue – Negatibu Purinsesu to Akumaō"" (Japanese: 仲間達の行方 ネガティブ王女と悪魔王)","October 11, 2009[170]",,,,,,,,,,,,,,,,,,,,,,,
Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,,,,Impel Down,,,,,,,,,,,,,,,,,,,,,,
422,1,"""A Deadly Infiltration! The Underwater Prison Impel Down!"" Transliteration: ""Kesshi no Sennyū! Kaitei Kangoku Inperu Daun"" (Japanese: 決死の潜入! 海底監獄インペルダウン)",Yoshihiro Ueda,Yoshiyuki Suga,"October 18, 2009[171]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,2,"""A Reunion in Hell?! The Man Who Ate the Chop-Chop Fruit!"" Transliteration: ""Jigoku de Saikai!? Bara Bara no Mi no Nōryokusha!"" (Japanese: 地獄で再会!? バラバラの実の実力者!)",Directed by : Yutaka Nakashima Storyboarded by : Naoyuki Itō,Hitoshi Tanaka,"October 25, 2009[172]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,3,"""Break Through the Crimson Hell! Buggy's Chaos-Inducing Plan!"" Transliteration: ""Yabure! Guren Jigoku – Bagī no Dohade Daisakusen"" (Japanese: 破れ! 紅蓮地獄 バギーのド派手大作戦)",Tetsuya Endō,Hitoshi Tanaka,"November 1, 2009[173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,4,"""The Strongest Man in the Prison! Poison Man Magellan Appears!"" Transliteration: ""Kangoku Saikyō no Otoko! Doku Ningen Mazeran Tōjō"" (Japanese: 監獄最強の男! 毒人間マゼラン登場)",Sumio Watanabe,Yoshiyuki Suga,"November 8, 2009[174]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,,,,Little East Blue,,,,,,,,,,,,,,,,,,,,,,
426,5,"""A Special Presentation Related to the Movie! A Gold Lion's Ambition on the Move!"" Transliteration: ""Eiga Rendō Supesharu – Ugokidasu Kinjishi no Yabō"" (Japanese: 映画連動特別編 動き出す金獅子の野望)",Hiroaki Miyamoto,Hirohiko Kamisaka,"November 15, 2009[175]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,6,"""A Special Presentation Related to the Movie! Little East Blue in Danger!"" Transliteration: ""Eiga Rendō Supesharu – Nerawareta Ritoru Īsuto Burū"" (Japanese: 映画連動特別編 狙われた小さな東の海)",Tetsuya Endō,Hirohiko Kamisaka,"November 22, 2009[176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,7,"""A Special Presentation Related to the Movie! The Fierce Onslaught of the Amigo Pirates!"" Transliteration: ""Eiga Rendō Supesharu – Amīgo Kaizoku-dan no Mōkō"" (Japanese: 映画連動特別編 アミーゴ海賊団の猛攻)",Directed by : Katsumi Tokoro Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"November 29, 2009[177]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,8,"""A Special Presentation Related to the Movie! The Battle is on! - Luffy vs. Largo"" Transliteration: ""Eiga Rendō Supesharu – Kessen! Rufi VS Rarugo"" (Japanese: 映画連動特別編 決戦! ルフィVSラルゴ)",Naoyuki Itō,Hirohiko Kamisaka,"December 6, 2009[178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,,,,Impel Down,,,,,,,,,,,,,,,,,,,,,,
430,9,"""A Warlord in Prison! Jimbei the First Son of the Sea!"" Transliteration: ""Toraware no Ōka Shichibukai! Kaikyō no Jinbē"" (Japanese: 囚われの王下七武海! 海侠のジンベエ)",Yoshihiro Ueda,Yoshiyuki Suga,"December 13, 2009[179]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,10,"""Chief Jailer Saldeath's Trap! Level 3 – Starvation Hell!"" Transliteration: ""Rōbanchō Sarudesu no Wana – Reberu Surī Kiga Jigoku"" (Japanese: 牢番長サルデスの罠　LV.3飢餓地獄)",Directed by : Sumio Watanabe Storyboarded by : Takahiro Imamura,Hitoshi Tanaka,"December 20, 2009[180]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,11,"""The Unleashed Swan! A Reunion with Bon Clay!"" Transliteration: ""Tokihanatareta Suwan! Saikai! Bon Kurē"" (Japanese: 解き放たれた白鳥! 再会! ボン・クレー)",Yutaka Nakashima,Hirohiko Kamisaka,"December 27, 2009[181]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,12,"""Warden Magellan's Strategy! Straw Hat Entrapment Completed!"" Transliteration: ""Shochō Mazeran Ugoku – Kansei! Mugiwara Hōimō"" (Japanese: 署長マゼラン動く 完成! 麦わら包囲網)",Tetsuya Endō,Hirohiko Kamisaka,"January 10, 2010[182]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,13,"""All Forces Have Gathered! The Battle on Level 4 – The Burning Heat Hell!"" Transliteration: ""Zensenryoku shūketsu! Reberu Fō – Shōnetsu Jigoku no Kessen"" (Japanese: 全戦力集結！ LV4·焦熱地獄の決戦)",Katsumi Tokoro,Hitoshi Tanaka,"January 17, 2010[183]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,14,"""Mighty Magellan! Bon Clay Bugs Out!"" Transliteration: ""Mazeran Tsuyoshi! Bon Kurē Tekizen Tōbō"" (Japanese: マゼラン強し! ボン・クレー敵前逃亡)",Takahiro Imamura,Yoshiyuki Suga,"January 24, 2010[184]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,15,"""The Showdown Has Come! Luffy's Desperate Last Attack!"" Transliteration: ""Shiyū Kessu! Sutemi no Rufi Saigo no Ichigeki"" (Japanese: 雌雄決す! 捨て身のルフィ最後の一撃)",Hiroaki Miyamoto,Hitoshi Tanaka,"January 31, 2010[185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,16,"""For His Friend! Bon Clay Goes to the Deadly Rescue!"" Transliteration: ""Dachi dakara – Bon Kurē Kesshi no Kyūshutsugyō"" (Japanese: 友達だから　ボン・クレー決死の救出行)",Yoshihiro Ueda,Yoshiyuki Suga,"February 7, 2010[186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,17,"""A Paradise in Hell! Impel Down – Level 5.5!"" Transliteration: ""Jigoku ni Rakuen! Inperu Daun Reberu Go ten Go"" (Japanese: 地獄に楽園! インペルダウン LV5.5)",Yoshihiro Ueda,Hirohiko Kamisaka,"February 14, 2010[187]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,18,"""Luffy's Treatment Begins! Iva's Miraculous Power!"" Transliteration: ""Rufi Chiryō Kaishi! Iwa-san Kiseki no Chikara"" (Japanese: ルフィ治療開始! イワさん奇跡の能力)",Tetsuya Endō,Hirohiko Kamisaka,"February 21, 2010[188]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,19,"""Believe in Miracles! Bon Clay's Cries From the Heart!"" Transliteration: ""Kiseki o Shinjite! Bon Kurē Tamashii no Seien"" (Japanese: 奇跡を信じて! ボン・クレー魂の声援)",Yutaka Nakashima,Yoshiyuki Suga,"February 28, 2010[189]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,20,"""Luffy Back In Action! Iva Begins the Breakout Plan!"" Transliteration: ""Rufi Fukkatsu! Iwa-san Datsugoku Keikaku Shidō!!"" (Japanese: ルフィ復活! イワさん脱獄計画始動!!)",Katsumi Tokoro,Hitoshi Tanaka,"March 7, 2010[190]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,21,"""Ace's Convoy Begins! Battle on the Lowest Floor – Level 6!"" Transliteration: ""Ēsu Gosō Kaishi – Saikasō Reberu Shikkusu Kōbō"" (Japanese: エース護送開始 最下層ＬＶ６の攻防!)",Sumio Watanabe,Hitoshi Tanaka,"March 14, 2010[191]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,22,"""The Ultimate Team Has Formed! Shaking Impel Down!"" Transliteration: ""Saikyō Chīmu Kessei – Shinkan! Inperudaun"" (Japanese: 最強チーム結成 震撼! インペルダウン)",Tetsuya Endō,Yoshiyuki Suga,"March 21, 2010[192]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,23,"""Even More Chaos! Here Comes Blackbeard Teach!"" Transliteration: ""Saranaru Konran! Kurohige Tīchi Shūrai!"" (Japanese: さらなる混乱! 黒ひげ・ティーチ襲来!)",Takahiro Imamura,Hirohiko Kamisaka,"March 28, 2010[193]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,24,"""The Dangerous Encounter! Blackbeard and Shiryu of the Rain!"" Transliteration: ""Kiken na Deai! Kurohige to Ame no Shiryū"" (Japanese: 危険な出会い！黒ひげと雨のシリュウ)",Yoshihiro Ueda,Yoshiyuki Suga,"April 4, 2010[194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,25,"""Refusal to be Defeated! Serious Hannyabal"" Transliteration: ""Iji demo Taorenu! Honki no Hannyabaru"" (Japanese: 意地でも倒れぬ！本気のハンニャバル)",Yutaka Nakashima,Hitoshi Tanaka,"April 11, 2010[195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,26,"""Jet Pistol of Anger! Luffy vs. Blackbeard!"" Transliteration: ""Ikari no Jetto Pisutoru – Rufi vs Kurohige"" (Japanese: 怒りのJETピストル　ルフィvs黒ヒゲ)",Makoto Sonoda,Yoshiyuki Suga,"April 18, 2010[196]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,27,"""Stop Magellan! Ivan-san's Esoteric Technique Explodes!"" Transliteration: ""Mazeran o Tomero! Iwa-san Ōgi Sakuretsu"" (Japanese: マゼランを止めろ！イワさん奥義炸裂)",Tetsuya Endō,Yoshiyuki Suga,"April 25, 2010[197]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,28,"""Magellan's Tricky Move! A Foiled Escape Plan!"" Transliteration: ""Mazeran no Kisaku! Habamareta Datsugoku Sakusen"" (Japanese: マゼランの奇策！はばまれた脱獄計画)",Hiroyuki Satō,Hitoshi Tanaka,"May 2, 2010[198]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,29,"""The Escapee Team in Trouble! The Forbidden Move: Venom Demon!"" Transliteration: ""Datsugoku Chīmu Zettaizetsumei – Kinjite 'Benomu Dēmon'"" (Japanese: 脱獄チーム絶体絶命 禁じ手""毒の巨兵"")",Katsumi Tokoro,Hirohiko Kamisaka,"May 9, 2010[199]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,30,"""Come, Final Miracle! Break Through the Gate of Justice!"" Transliteration: ""Okose Saigo no Kiseki – Seigi no Mon o Toppaseyo"" (Japanese: 起こせ最後の奇跡 正義の門を突破せよ)",Takahiro Imamura,Yoshiyuki Suga,"May 16, 2010[200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,31,"""To the Navy Headquarters! Off to Rescue Ace!"" Transliteration: ""Mezase Kaigun Honbu – Ēsu Kyūshutsu e no Funade"" (Japanese: 目指せ海軍本部 エース救出への船出!)",Yoshihiro Ueda,Hitoshi Tanaka,"May 23, 2010[201]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,32,"""The Friends' Whereabouts! The Weatheria Report and the Cyborg Animals!"" Transliteration: ""Nakama-tachi no Yukue – Wezaria Ripōto to Saibōgu Animaru"" (Japanese: 仲間達の行方 空島リポートと改造動物)",Directed by : Aya Komaki Storyboarded by : Tetsuya Endō,Hitoshi Tanaka,"May 30, 2010[202]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,33,"""The Friends' Whereabouts! The Chick of a Giant Bird and a Pink Showdown!"" Transliteration: ""Nakama-tachi no Yukue – Kyochō no Hina to Momoiro no Taiketsu"" (Japanese: 仲間達の行方 巨鳥のヒナと桃色の対決)",Yutaka Nakashima,Yoshiyuki Suga,"June 6, 2010[203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,34,"""The Friends' Whereabouts! Revolutionaries and the Gorging Forest's Trap"" Transliteration: ""Nakama-tachi no Yukue – Kakumeigun to Bōshoku no Mori no Wana!"" (Japanese: 仲間達の行方 革命軍と暴食の森の罠!)",Gō Koga,Hirohiko Kamisaka,"June 13, 2010[204]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,35,"""The Friends' Whereabouts! A Huge Tomb and the Panty Debt!"" Transliteration: ""Nakama-tachi no Yukue – Kyodai no Hakajirushi to Pantsu no On"" (Japanese: 仲間達の行方 巨大の墓標とパンツの恩)",Katsumi Tokoro,Hirohiko Kamisaka,"June 20, 2010[205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,,,,Marineford,,,,,,,,,,,,,,,,,,,,,,
457,1,"""A Special Retrospective Before Marineford! The Vow of the Brotherhood"" Transliteration: ""Marinfōdo Chokuzen Kaisou Supesharu – Kyōdai no Chikai!"" (Japanese: 海軍本部直前回想特別編 兄弟の誓い!)",Makoto Sonoda,Hirohiko Kamisaka,"June 27, 2010[206]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,2,"""A Special Retrospective Before Marineford! The Three Navy Admirals Come Together!"" Transliteration: ""Marinfōdo Chokuzen Kaisou Supesharu – Shūketsu! San Taishō"" (Japanese: 海軍本部直前回想特別編 集結! 三大将)",Hiroyuki Satō,Hirohiko Kamisaka,"July 11, 2010[207]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,3,"""Ticking Down to the Time of Battle! The Navy's Strongest Lineup in Position!"" Transliteration: ""Kessen no Toki Semaru! Kaigun Saikyō no Fujin Kansei!"" (Japanese: 決戦の刻迫る! 海軍最強の布陣完成!)",Hiroaki Miyamoto,Yoshiyuki Suga,"July 18, 2010[208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,4,"""A Vast Fleet Appears! Here Come the Whitebeard Pirates!"" Transliteration: ""Kyodai Kantai Arawaru – Shūrai! Shirohige Kaizoku-dan"" (Japanese: 巨大艦隊あらわる　襲来! 白ひげ海賊団)",Takahiro Imamura,Hitoshi Tanaka,"August 1, 2010[209]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,5,"""The Beginning of the War! Ace and Whitebeard's Past!"" Transliteration: ""Kessen no Makuake! Ēsu to Shirohige no Kako"" (Japanese: 決戦の幕開け! エースと白ひげの過去)",Directed by : Sumio Watanabe Storyboarded by : Naoyuki Itō,Hitoshi Tanaka,"August 8, 2010[210]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,6,"""The Force That Could Destroy the World! The Power of the Tremor-Tremor Fruit!"" Transliteration: ""Sekai o Horobosu Chikara! Gura Gura no Mi no Nōryoku"" (Japanese: 世界を滅ぼす力! グラグラの実の能力)",Yoshihiro Ueda,Yoshiyuki Suga,"August 15, 2010[211]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,7,"""An All-Consuming Inferno!! Admiral Akainu's Power!"" Transliteration: ""Subete o Yakitsukusu!! Taishō Akainu no Chikara!"" (Japanese: すべてを焼き尽くす!! 大将赤犬の能力!)",Yutaka Nakashima,Hirohiko Kamisaka,"August 22, 2010[212]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,8,"""A Descendant of the Beast! Little Oars Jr. - Full Speed Ahead!"" Transliteration: ""Majin no Shison! Ritoru Ōzu Junia Bakushin!"" (Japanese: 魔人の子孫! リトルオーズJr.驀進！)",Katsumi Tokoro,Hitoshi Tanaka,"August 29, 2010[213]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,9,"""Justice For the Winners! Sengoku's Strategy in Action!"" Transliteration: ""Shōsha dake ga Seigi – Hatsudō! Sengoku no Sakusen"" (Japanese: 勝者だけが正義 発動! センゴクの作戦)",Aya Komaki,Yoshiyuki Suga,"September 5, 2010[214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,10,"""Straw Hat Team Arrives! Tension Grows at the Battlefield"" Transliteration: ""Mugiwara Chīmu Tōchaku – Fūunkyū o Tsugeru Senjō"" (Japanese: 麦わらチーム到着 風雲急を告げる戦場)",Gō Koga,Hirohiko Kamisaka,"September 12, 2010[215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,11,"""Even If It Means Death! Luffy vs. the Navy; The Battle Starts!"" Transliteration: ""Shindemo Tasukeru – Rufi VS Kaigun Batoru Sutāto"" (Japanese: 死んでも助ける ルフィVS海軍戦闘開始)",Naoyuki Itō,Hitoshi Tanaka,"September 19, 2010[216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,12,"""Hard Battles, One After Another! Devil Fruit Eaters vs. Devil Fruit Eaters!"" Transliteration: ""Gekisen no Renzoku! Nōryokusha Gundan VS Nōryokusha Gundan"" (Japanese: 激戦の連続! 能力者軍団VS能力者軍団)",Makoto Sonoda,Yoshiyuki Suga,"September 26, 2010[217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,13,"""Kuma's Transformation! Ivan-san's Blow of Anger!"" Transliteration: ""Kuma ni Okita Ihen – Iwa-san Ikari no Ichigeki"" (Japanese: クマに起きた異変　イワさん怒りの一撃)",Yoshihiro Ueda,Hirohiko Kamisaka,"October 3, 2010[218]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,14,"""The Great Swordsman Mihawk! Luffy Comes Under the Attack of the Black Sword!"" Transliteration: ""Kengō Mihōku – Rufi ni Semaru Kokutō no Zangeki"" (Japanese: 剣豪ミホーク ルフィに迫る黒刀の斬撃)",Takahiro Imamura,Yoshiyuki Suga,"October 10, 2010[219]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,15,"""The Extermination Strategy in Action! The Power of the Pacifistas!"" Transliteration: ""Senmetsu Sakusen Shidō – Pashifisuta Gundan no Iryoku"" (Japanese: 殲滅作戦始動 パシフィスタ軍団の威力)",Yutaka Nakashima,Hitoshi Tanaka,"October 17, 2010[220]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,16,"""Akainu's Plot! Whitebeard Entrapped!"" Transliteration: ""Akainu no Bōryaku! Otoshiirerareta Shirohige"" (Japanese: 赤犬の謀略! おとしいれられた白ひげ)",Sumio Watanabe,Hirohiko Kamisaka,"October 24, 2010[221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,17,"""The Encircling Walls Activated! The Whitebeard Pirates Backed into a Corner!!"" Transliteration: ""Hōi Sakusen Sadō! Shirohige Kaizoku-dan Zettaizetsumei!!"" (Japanese: 包囲壁作動! 白ひげ海賊団絶体絶命!!)",Hiroaki Miyamoto,Hitoshi Tanaka,"October 31, 2010[222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,18,"""Execution Order Issued! Break Through the Encircling Walls!"" Transliteration: ""Shokei Shikkō Meirei Kudaru – Hōiheki o Toppaseyo!"" (Japanese: 処刑執行命令下る 包囲壁を突破せよ!)",Aya Komaki,Yoshiyuki Suga,"November 7, 2010[223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,19,"""Moving Into the Final Phase! Whitebeard's Trump Card for Recovery!"" Transliteration: ""Saishū Kyokumen Totsunyū! Shirohige Kishikaisei no Itte"" (Japanese: 最終局面突入! 白ひげ起死回生の一手)",Katsumi Tokoro,Hirohiko Kamisaka,"November 14, 2010[224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,20,"""Luffy at the End of his Tether! An All-Out Battle at the Oris Plaza!"" Transliteration: ""Rufi Chikaratsuku! Orisu Hiroba no Sōryokusen!!"" (Japanese: ルフィ力尽く! オリス広場の総力戦!!)",Yoshihiro Ueda,Hitoshi Tanaka,"November 21, 2010[225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,21,"""The Power That Will Shorten One's Life! Energy Hormone, Redux!"" Transliteration: ""Inochi o Kezuru Chikara – Tenshon Horumon Futatabi"" (Japanese: 命を削る力 テンション・ホルモン再び)",Naoyuki Itō,Yoshiyuki Suga,"November 28, 2010[226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,22,"""To Live Up to a Promise! Luffy and Coby Collide!"" Transliteration: ""Yakusoku no Tame ni!! Gekitotsu! Rufi to Kobī"" (Japanese: 約束のために!! 激突! ルフィとコビー)",Gō Koga,Hirohiko Kamisaka,"December 5, 2010[227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,23,"""The Scaffold at Last! The Way to Ace Has Opened!"" Transliteration: ""Shokeidai Mokuzen! Hirakareta Ēsu e no Michi!!"" (Japanese: 処刑台目前! 開かれたエースへの道!!)",Makoto Sonoda,Hitoshi Tanaka,"December 12, 2010[228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,24,"""Each on Different Paths! Luffy vs. Garp!"" Transliteration: ""Sorezore no Eranda Michi – Rufi vs Gāpu!"" (Japanese: それぞれの選んだ道　ルフィVSガープ!)",Takahiro Imamura,Yoshiyuki Suga,"December 19, 2010[229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
