No. overall,No. in season,Title,Directed by,Written by,Original release date,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford,Marineford
457,1,"""A Special Retrospective Before Marineford! The Vow of the Brotherhood"" Transliteration: ""Marinfōdo Chokuzen Kaisou Supesharu – Kyōdai no Chikai!"" (Japanese: 海軍本部直前回想特別編 兄弟の誓い!)",Makoto Sonoda,Hirohiko Kamisaka,"June 27, 2010[206]",,,,,,,
458,2,"""A Special Retrospective Before Marineford! The Three Navy Admirals Come Together!"" Transliteration: ""Marinfōdo Chokuzen Kaisou Supesharu – Shūketsu! San Taishō"" (Japanese: 海軍本部直前回想特別編 集結! 三大将)",Hiroyuki Satō,Hirohiko Kamisaka,"July 11, 2010[207]",,,,,,,
459,3,"""Ticking Down to the Time of Battle! The Navy's Strongest Lineup in Position!"" Transliteration: ""Kessen no Toki Semaru! Kaigun Saikyō no Fujin Kansei!"" (Japanese: 決戦の刻迫る! 海軍最強の布陣完成!)",Hiroaki Miyamoto,Yoshiyuki Suga,"July 18, 2010[208]",,,,,,,
460,4,"""A Vast Fleet Appears! Here Come the Whitebeard Pirates!"" Transliteration: ""Kyodai Kantai Arawaru – Shūrai! Shirohige Kaizoku-dan"" (Japanese: 巨大艦隊あらわる　襲来! 白ひげ海賊団)",Takahiro Imamura,Hitoshi Tanaka,"August 1, 2010[209]",,,,,,,
461,5,"""The Beginning of the War! Ace and Whitebeard's Past!"" Transliteration: ""Kessen no Makuake! Ēsu to Shirohige no Kako"" (Japanese: 決戦の幕開け! エースと白ひげの過去)",Directed by : Sumio Watanabe Storyboarded by : Naoyuki Itō,Hitoshi Tanaka,"August 8, 2010[210]",,,,,,,
462,6,"""The Force That Could Destroy the World! The Power of the Tremor-Tremor Fruit!"" Transliteration: ""Sekai o Horobosu Chikara! Gura Gura no Mi no Nōryoku"" (Japanese: 世界を滅ぼす力! グラグラの実の能力)",Yoshihiro Ueda,Yoshiyuki Suga,"August 15, 2010[211]",,,,,,,
463,7,"""An All-Consuming Inferno!! Admiral Akainu's Power!"" Transliteration: ""Subete o Yakitsukusu!! Taishō Akainu no Chikara!"" (Japanese: すべてを焼き尽くす!! 大将赤犬の能力!)",Yutaka Nakashima,Hirohiko Kamisaka,"August 22, 2010[212]",,,,,,,
464,8,"""A Descendant of the Beast! Little Oars Jr. - Full Speed Ahead!"" Transliteration: ""Majin no Shison! Ritoru Ōzu Junia Bakushin!"" (Japanese: 魔人の子孫! リトルオーズJr.驀進！)",Katsumi Tokoro,Hitoshi Tanaka,"August 29, 2010[213]",,,,,,,
465,9,"""Justice For the Winners! Sengoku's Strategy in Action!"" Transliteration: ""Shōsha dake ga Seigi – Hatsudō! Sengoku no Sakusen"" (Japanese: 勝者だけが正義 発動! センゴクの作戦)",Aya Komaki,Yoshiyuki Suga,"September 5, 2010[214]",,,,,,,
